generated randoms
 4622462095217761923 15086407973010263515 13253971772784692238 
 5270549043541649236 11182714186805411604 12283846437495577140 
 5297647149908953219 10047451738316836654  4938228100367874746 
12328523025304077923  3601049438595312361  9313624118352733770 
13322966086117661798 16660005705644029394 11337677526988872373 
13869299102574417795 15642043183045645437  3021755569085880019 
 4979741767761188161 13679979092079279587  3344685842861071743 
13947960059899588104   305806934293368007  5749173929201650029 
11123724852118844098 15128987688788879802 15251651211024665009 
 7689925933816577776 16732804392695859449 17087345401014078468 
14315108589159048871  4820700266619778917 16709637539357958441 
 4936227875177351374  2137907697912987247 11628565601408395420 
 2333250549241556786  5711200379577778637  5170680131529031729 
12620392043061335164    95363390101096078  5487981914081709462 
 1763109823981838620  3395861271473224396  1300496844282213595 
 6894316212820232902 10673859651135576674  5911839658857903252 
17407110743387299102  8257427154623140385 11389003026741800267 
 4070043211095013717 11663806997145259025 15265598950648798210 
  630585789434030934  3524446529213587334  7186424168495184211 
10806585451386379021 11120017753500499273  1586837651387701301 
17530454400954415544  9991670045077880430  7550997268990730180 
 8640249196597379304  3522203892786893823 10401116549878854788 
13690285544733124852  8295785675455774586 15535716172155117603 
 3112108583723722511 17633179955339271113 18154208056063759375 
 1866409236285815666 13326075895396412882  8756261842948020025 
 6281852999868439131 15087653361275292858 10333923911152949397 
 5265567645757408500 12728041843210352184  6347959327507828759 
  154112802625564758 18235228308679780218  3253805274673352418 
 4849171610689031197 17948529398340432518 13803510475637409167 
13506570190409883095 15870801273282960805  8451286481299170773 
 9562190620034457541  8518905387449138364 12681306401363385655 
 3788073690559762558  5256820289573487769  2752021372314875467 
 6354035166862520716  4328956378309739069   449087441228269600 
 5533508742653090868  1260389420404746988 18175394473289055097 
 1535467109660399420  8818894282874061442 12140873243824811213 
15031386653823014946  1286028221456149232  6329608889367858784 
 9419654354945132725  6094576547061672379 17706217251847450255 
 1733495073065878126 16918923754607552663  8881949849954945044 
12938977706896313891 14043628638299793407 18393874581723718233 
 6886318534846892044 14577870878038334081 13541558383439414119 
13570472158807588273 18300760537910283361   818368572800609205 
 1417000585112573219 12337533143867683655 12433180994702314480 
  778190005829189083 13667356216206524711  9866149895295225230 
11043240490417111999  1123933826541378598  6469631933605123610 
14508554074431980040 13918931242962026714  2870785929342348285 
14786362626740736974 13176680060902695786  9591778613541679456 
 9097662885117436706   749262234240924947  1944844067793307093 
 4339214904577487742  8009584152961946551 16073159501225501777 
 3335870590499306217 17088312653151202847  3108893142681931848 
16636841767202792021 10423316431118400637  8008357368674443506 
11340015231914677875 17687896501594936090 15173627921763199958 
  542569482243721959 15071714982769812975  4466624872151386956 
 1901780715602332461  9822227742154351098  1479332892928648780 
 6981611948382474400  7620824924456077376 14095973329429406782 
 7902744005696185404 15830577219375036920 10287076667317764416 
12334872764071724025  4419302088133544331 14455842851266090520 
12488077416504654222  7953892017701886766  6331484925529519007 
 4902145853785030022 17010159216096443073 11945354668653886087 
15112022728645230829 17363484484522986742  4423497825896692887 
 8155489510809067471   258966605622576285  5462958075742020534 
 6763710214913276228  2368935183451109054 14209506165246453811 
 2646257040978514881  3776001911922207672  1419304601390147631 
14987366598022458284  3977770701065815721   730820417451838898 
 3982991703612885327  2803544519671388477 17067667221114424649 
 2922555119737867166  1989477584121460932 15020387605892337354 
 9293277796427533547 10722181424063557247 16704542332047511651 
 5008286236142089514 16174732308747382540 17597019485798338402 
13081745199110622093  8850305883842258115 12723629125624589005 
 8140566453402805978 15356684607680935061 14222190387342648650 
11134610460665975178  1259799058620984266 13281656268025610041 
  298262561068153992 12277871700239212922 13911297774719779438 
16556727962761474934 17903010316654728010  9682617699648434744 
14757681836838592850  1327242446558524473 11126645098780572792 
 1883602329313221774  2543897783922776873 15029168513767772842 
12710270651039129878 16118202956069604504 15010759372168680524 
 2296827082251923948 10793729742623518101 13829764151845413046 
17769301223184451213  3118268169210783372 17626204544105123127 
 7416718488974352644 10450751996212925994  9352529519128770586 
  259347569641110140  8048588892269692697  1774414152306494058 
10669548347214355622 13061992253816795081 18432677803063861659 
 8879191055593984333 12433753195199268041 14919392415439730602 
 6612848378595332963  6320986812036143628 10465592420226092859 
 4196009278962570808  3747816564473572224 17941203486133732898 
 2350310037040505198  5811779859134370113 10492109599506195126 
 7699650690179541274  1954338494306022961 14095816969027231152 
 5841346919964852061 14945969510148214735  3680200305887550992 
 6218047466131695792  8242165745175775096 11021371934053307357 
 1265099502753169797  4644347436111321718  3609296916782832859 
 8109807992218521571 18387884215648662020 14656324896296392902 
17386819091238216751 17788300878582317152  7919446259742399591 
 4466613134576358004 12928181023667938509 13147446154454932030 
16552129038252734620  8395299403738822450 11313817655275361164 
  434258809499511718  2074882104954788676  7929892178759395518 
 9006461629105745388  5176475650000323086 11128357033468341069 
12026158851559118955 14699716249471156500   448982497120206757 
 4156475356685519900  6063816103417215727 10073289387954971479 
 8174466846138590962  2675777452363449006  9090685420572474281 
 6659652652765562060 12923120304018106621 11117480560334526775 
  937910473424587511  1838692113502346645 11133914074648726180 
 7922600945143884053 13435287702700959550  5287964921251123332 
11354875374575318947 17955724760748238133 13728617396297106512 
 4107449660118101255  1210269794886589623 11408687205733456282 
 4538354710392677887 13566803319341319267 17870798107734050771 
 3354318982568089135  9034450839405133651 13087431795753424314 
  950333102820688239  1968360654535604116 16840551645563314995 
 8867501803892924995 11395388644490626845  1529815836300732204 
13330848522996608842  1813432878817504265  2336867432693429560 
15192805445973385902  2528593071076407877   128459777936689248 
 9976345382867214866  6208885766767996043 14982349522273141706 
 3099654362410737822 13776700761947297661  8806185470684925550 
 8151717890410585321   640860591588072925 14592096303937307465 
 9056472419613564846 14861544647742266352 12703771500398470216 
 3142372800384138465  6201105606917248196 18337516409359270184 
15042268695665115339 15188246541383283846 12800028693090114519 
 5992859621101493472 18278043971816803521  9002773075219424560 
 7325707116943598353  7930571931248040822  5645275869617023448 
 7266107455295958487  4363664528273524411 14313875763787479809 
17059695613553486802  9247761425889940932 13704726459237593128 
 2701312427328909832 17235532008287243115 14093147761491729538 
 6247352273768386516  8268710048153268415  7985295214477182083 
15624495190888896807  3772753430045262788  9133991620474991698 
 5665791943316256028  7551996832462193473 13163729206798953877 
 9263532074153846374  1015460703698618353 17929874696989519390 
18257884721466153847 16271867543011222991  3905971519021791941 
16814488397137052085  1321197685504621613  2870359191894002181 
14317282970323395450 13663920845511074366  2052463995796539594 
14126345686431444337  1727572121947022534 17793552254485594241 
 6738857418849205750  1282987123157442952 16655480021581159251 
 6784587032080183866 14726758805359965162  7577995933961987349 
12539609320311114036 10789773033385439494  8517001497411158227 
10075543932136339710 14838152340938811081  9560840631794044194 
17445736541454117475 10633026464336393186 15705729708242246293 
 1117517596891411098  4305657943415886942  4948856840533979263 
16071681989041789593 13723031429272486527  7639567622306509462 
12670424537483090390  9715223453097197134  5457173389992686394 
  289857129276135145 17048610270521972512   692768013309835485 
14823232360546632057 18218002361317895936  3281724260212650204 
16453957266549513795  8592711109774511881   929825123473369579 
15966784769764367791  9627344291450607588 10849555504977813287 
 9234566913936339275  6413807690366911210 10862389016184219267 
13842504799335374048  1531994113376881174  2081314867544364459 
16430628791616959932  8314714038654394368  9155473892098431813 
12577843786670475704  4399161106452401017  1668083091682623186 
 1741383777203714216  2162597285417794374 15841980159165218736 
 1971354603551467079  1206714764913205968  4790860439591272330 
14699375615594055799  8374423871657449988 10950685736472937738 
  697344331343267176 10084998763118059810 12897369539795983124 
12351260292144383605  1268810970176811234  7406287800414582768 
  516169557043807831  5077568278710520380  3828791738309039304 
 7721974069946943610  3534670260981096460  4865792189600584891 
16892578493734337298  9161499464278042590 11976149624067055931 
13219479887277343990 14161556738111500680 14670715255011223056 
 4671205678403576558 12633022931454259781 14821376219869187646 
  751181776484317028  2192211308839047070 11787306362361245189 
10672375120744095707  4601972328345244467 15457217788831125879 
 8464345256775460809 10191938789487159478  6184348739615197613 
11425436778806882100  2739227089124319793   461464518456000551 
 4689850170029177442  6120307814374078625 11153579230681708671 
 7891721473905347926 10281646937824872400  3026099648191332248 
 8666750296953273818 14978499698844363232 13303395102890132065 
 8182358205292864080 10560547713972971291 11981635489418959093 
 3134621354935288409 11580681977404383968 14205530317404088650 
 5997789011854923157 13659151593432238041 11664332114338865086 
 7490351383220929386  7189290499881530378 15039262734271020220 
 2057217285976980055   555570804905355739 11235311968348555110 
13824557146269603217 16906788840653099693  7222878245455661677 
 5245139444332423756  4723748462805674292 12216509815698568612 
17402362976648951187 17389614836810366768  4880936484146667711 
 9085007839292639880 13837353458498535449 11914419854360366677 
16595890135313864103  6313969847197627222 18296909792163910431 
10041780113382084042  2499478551172884794 11057894246241189489 
 9742243032389068555 12838934582673196228 13437023235248490367 
13372420669446163240  6752564244716909224  7157333073400313737 
12230281516370654308  1182884552219419117  2955125381312499218 
10308827097079443249  1337648572986534958 16378788590020343939 
  108619126514420935  3990981009621629188  5460953070230946410 
 9703328329366531883 13166631489188077236  1104768831213675170 
 3447930458553877908  8067172487769945676  5445802098190775347 
 3244840981648973873 17314668322981950060  5006812527827763807 
18158695070225526260  2824536478852417853 13974775809127519886 
 9814362769074067392 17276205156374862128 11361680725379306967 
 3422581970382012542 11003189603753241266 11194292945277862261 
 6839623313908521348 11935326462707324634  1611456788685878444 
13112620989475558907   517659108904450427 13558114318574407624 
15699089742731633077  4988979278862685458  8111373583056521297 
 3891258746615399627  8137298251469718086 12748663295624701649 
 4389835683495292062  5775217872128831729  9462091896405534927 
 8498124108820263989  8059131278842839525 10503167994254090892 
11613153541070396656 18069248738504647790   570657419109768508 
 3950574167771159665  5514655599604313077  2908460854428484165 
10777722615935663114 12007363304839279486  9800646187569484767 
 8795423564889864287 14257396680131028419  6405465117315096498 
 7939411072208774878 17577572378528990006 14785873806715994850 
16770572680854747390 18127549474419396481 11637013449455757750 
14371851933996761086  3601181063650110280  4126442845019316144 
10198287239244320669 18000169628555379659 18392482400739978269 
 6219919037686919957  3610085377719446052  2513925039981776336 
16679413537926716955 12903302131714909434  5581145789762985009 
12325955044293303233 17216111180742141204  6321919595276545740 
 3507521147216174501  9659194593319481840 11473976005975358326 
14742730101435987026   492845897709954780 16976371186162599676 
17712703422837648655  9881254778587061697  8413223156302299551 
 1563841828254089168  9996032758786671975   138877700583772667 
13003043368574995989  4390573668650456587  8610287390568126755 
15126904974266642199  6703637238986057662  2873075592956810157 
 6035080933946049418 13382846581202353014  7303971031814642463 
18418024405307444267  5847096731675404647  4035880699639842500 
11525348625112218478  3041162365459574102  2604734487727986558 
15526341771636983145 14556052310697370254 12997787077930808155 
 9601806501755554499 11349677952521423389 14956777807644899350 
16559736957742852721 12360828274778140726  6685373272009662513 
16932258748055324130 15918051131954158508  1692312913140790144 
  546653826801637367  5341587076045986652 14975057236342585662 
12374976357340622412 10328833995181940552 12831807101710443149 
10548514914382545716  2217806727199715993 12627067369242845138 
 4598965364035438158   150923352751318171 14274109544442257283 
 4696661475093863031  1505764114384654516 10699185831891495147 
 2392353847713620519  3652870166711788383  8640653276221911108 
 3894077592275889704  4918592872135964845 16379121273281400789 
12058465483591683656 11250106829302924945  1147537556296983005 
 6376342756004613268 14967128191709280506 18007449949790627628 
 9497178279316537841  7920174844809394893 10037752595255719907 
15875342784985217697 15311615921712850696  9552902652110992950 
14054979450099721140  5998709773566417349 18027910339276320187 
 8223099053868585554  7842270354824999767  4896315688770080292 
12969320296569787895  2674321489185759961  4053615936864718439 
11349775270588617578  4743019256284553975  5602100217469723769 
14398995691411527813  7412170493796825470   836262406131744846 
 8231086633845153022  5161377920438552287  8828731196169924949 
16211142246465502680  3307990879253687818  5193405406899782022 
 8510842117467566693  6070955181022405365 14482950231361409799 
12585159371331138077  3511537678933588148  2041849474531116417 
10944936685095345792 18303116923079107729  2720566371239725320 
 4958672473562397622  3032326668253243412 13689418691726908338 
 1895205511728843996  8146303515271990527 16507343500056113480 
  473996939105902919  9897686885246881481 14606433762712790575 
 6732796251605566368  1399778120855368916   935023885182833777 
16066282816186753477  7291270991820612055 17530230393129853844 
10223493623477451366 15841725630495676683 17379567246435515824 
 8588251429375561971 18339511210887206423 17349587430725976100 
12244876521394838088  6382187714147161259 12335807181848950831 
16948885622305460665 13755097796371520506 14806740373324947801 
 4828699633859287703  8209879281452301604 12435716669553736437 
13970976859588452131  6233960842566773148 12507096267900505759 
 1198713114381279421 14989862731124149015 15932189508707978949 
 2526406641432708722    29187427817271982  1499802773054556353 
10816638187021897173  5436139270839738132  6659882287036010082 
 2154048955317173697 10887317019333757642 16281091802634424955 
10754549879915384901 10760611745769249815  2161505946972504002 
 5243132808986265107 10129852179873415416   710339480008649081 
 7802129453068808528 17967213567178907213 15730859124668605599 
13058356168962376502  3701224985413645909 14464065869149109264 
 9959272418844311646 10157426099515958752 14013736814538268528 
17797456992065653951 17418878140257344806 15457429073540561521 
 2184426881360949378  2062193041154712416  8553463347406931661 
 4913057625202871854  2668943682126618425 17064444737891172288 
 4997115903913298637 12019402608892327416 17603584559765897352 
11367529582073647975  8211476043518436050  8676849804070323674 
18431829230394475730 10490177861361247904  9508720602025651349 
 7409627448555722700  5804047018862729008 11943858176893142594 
11908095418933847092  5415449345715887652  1554022699166156407 
 9073322106406017161  7080630967969047082 18049736940860732943 
12748714242594196794  1226992415735156741 17900981019609531193 
11720739744008710999  3006400683394775434 11347974011751996028 
 3316999628257954608  8384484563557639101 18117794685961729767 
 1900145025596618194 17459527840632892676  5634784101865710994 
 7918619300292897158  3146577625026301350  9955212856499068767 
 1873995843681746975  1561487759967972194  8322718804375878474 
11300284215327028366  4667391032508998982  9820104494306625580 
17922397968599970610  1784690461886786712 14940365084341346821 
 5348719575594186181 10720419084507855261 14210394354145143274 
 2426468692164000131 16271062114607059202 14851904092357070247 
 6524493015693121897  9825473835127138531 14222500616268569578 
15521484052007487468 14462579404124614699 11012375590820665520 
11625327350536084927 14452017765243785417  9989342263518766305 
 3640105471101803790  4749866455897513242 13963064946736312044 
10007416591973223791 18314132234717431115  3286596588617483450 
 7726163455370818765  7575454721115379328  5308331576437663422 
18288821894903530934  8028405805410554106 15744019832103296628 
  149765559630932100  6137705557200071977 14513416315434803615 
11665702820128984473   218926670505601386  6868675028717769519 
15282016569441512302  5707000497782960236  6671120586555079567 
 2194098052618985448 16849577895477330978 12957148471017466283 
 1997805535404859393  1180721060263860490 13206391310193756958 
12980208674461861797  3825967775058875366 17543433670782042631 
 1518339070120322730 16344584340890991669  2611327165318529819 
11265022723283422529  4001552800373196817 14509595890079346161 
 3528717165416234562 18153222571501914072  9387182977209744425 
10064342315985580021 11373678413215253977  2308457853228798099 
 9729042942839545302  7833785471140127746  6351049900319844436 
14454610627133496067 12533175683634819111 15570163926716513029 
13356980519185762498 
